,prompt,completion
104,"This is a verse from the Holy Quran
""They followed what the evil ones gave out (falsely) against the power of Solomon: the blasphemers Were""
 where its mention in the Holy quran?",(Quran 2:102)
105,"This is a verse from the Holy Quran
""If they had kept their Faith and guarded themselves from evil""
 where its mention in the Holy quran?",(Quran 2:103)
106,"This is a verse from the Holy Quran
""O ye of Faith! Say not (to the Messenger) words of ambiguous import""
 where its mention in the Holy quran?",(Quran 2:104)
107,"This is a verse from the Holy Quran
""It is never the wish of those without Faith among the People of the Book""
 where its mention in the Holy quran?",(Quran 2:105)
108,"This is a verse from the Holy Quran
""None of Our revelations do We abrogate or cause to be forgotten""
 where its mention in the Holy quran?",(Quran 2:106)
109,"This is a verse from the Holy Quran
""Knowest thou not that to Allah belongeth the dominion of the heavens and the earth? And besides Him ye have neither patron nor helper.""
 where its mention in the Holy quran?",(Quran 2:107)
110,"This is a verse from the Holy Quran
""Would ye question your Messenger as Moses was questioned of old? but whoever changeth from Faith to Unbelief""
 where its mention in the Holy quran?",(Quran 2:108)
111,"This is a verse from the Holy Quran
""Quite a number of the People of the Book wish they could Turn you (people) back to infidelity after ye have believed""
 where its mention in the Holy quran?",(Quran 2:109)
112,"This is a verse from the Holy Quran
""And be steadfast in prayer and regular in charity: And whatever good ye send forth for your souls before you""
 where its mention in the Holy quran?",(Quran 2:110)
113,"This is a verse from the Holy Quran
""And they say: ""None shall enter Paradise unless he be a Jew or a Christian."" Those are their (vain) desires. Say: ""Produce your proof if ye are truthful.""""
 where its mention in the Holy quran?",(Quran 2:111)
114,"This is a verse from the Holy Quran
""Nay""
 where its mention in the Holy quran?",(Quran 2:112)
115,"This is a verse from the Holy Quran
""The Jews say: ""The Christians have naught (to stand) upon; and the Christians say: ""The Jews have naught (To stand) upon."" Yet they (Profess to) study the (same) Book. Like unto their word is what those say who know not; but Allah will judge between them in their quarrel on the Day of Judgment.""
 where its mention in the Holy quran?",(Quran 2:113)
116,"This is a verse from the Holy Quran
""And who is more unjust than he who forbids that in places for the worship of Allah""
 where its mention in the Holy quran?",(Quran 2:114)
117,"This is a verse from the Holy Quran
""To Allah belong the east and the West: Whithersoever ye turn""
 where its mention in the Holy quran?",(Quran 2:115)
118,"This is a verse from the Holy Quran
""They say: ""Allah hath begotten a son"" :Glory be to Him.-Nay""
 where its mention in the Holy quran?",(Quran 2:116)
119,"This is a verse from the Holy Quran
""To Him is due the primal origin of the heavens and the earth: When He decreeth a matter""
 where its mention in the Holy quran?",(Quran 2:117)
120,"This is a verse from the Holy Quran
""Verily We have sent thee in truth as a bearer of glad tidings and a warner: But of thee no question shall be asked of the Companions of the Blazing Fire.""
 where its mention in the Holy quran?",(Quran 2:119)
121,"This is a verse from the Holy Quran
""Never will the Jews or the Christians be satisfied with thee unless thou follow their form of religion. Say: ""The Guidance of Allah""
 where its mention in the Holy quran?",(Quran 2:120)
122,"This is a verse from the Holy Quran
""Those to whom We have sent the Book study it as it should be studied: They are the ones that believe therein: Those who reject faith therein""
 where its mention in the Holy quran?",(Quran 2:121)
123,"This is a verse from the Holy Quran
""O Children of Israel! call to mind the special favour which I bestowed upon you""
 where its mention in the Holy quran?",(Quran 2:122)
124,"This is a verse from the Holy Quran
""Then guard yourselves against a-Day when one soul shall not avail another""
 where its mention in the Holy quran?",(Quran 2:123)
125,"This is a verse from the Holy Quran
""And remember that Abraham was tried by his Lord with certain commands""
 where its mention in the Holy quran?",(Quran 2:124)
126,"This is a verse from the Holy Quran
""Remember We made the House a place of assembly for men and a place of safety; and take ye the station of Abraham as a place of prayer; and We covenanted with Abraham and Isma�il""
 where its mention in the Holy quran?",(Quran 2:125)
127,"This is a verse from the Holy Quran
""And remember Abraham said: ""My Lord""
 where its mention in the Holy quran?",(Quran 2:126)
128,"This is a verse from the Holy Quran
""And remember Abraham and Isma�il raised the foundations of the House (With this prayer): ""Our Lord! Accept (this service) from us: For Thou art the All-Hearing""
 where its mention in the Holy quran?",(Quran 2:127)
129,"This is a verse from the Holy Quran
""""Our Lord! make of us Muslims""
 where its mention in the Holy quran?",(Quran 2:128)
130,"This is a verse from the Holy Quran
""""Our Lord! send amongst them a Messenger of their own""
 where its mention in the Holy quran?",(Quran 2:129)
131,"This is a verse from the Holy Quran
""And who turns away from the religion of Abraham but such as debase their souls with folly? Him We chose and rendered pure in this world: And he will be in the Hereafter in the ranks of the Righteous.""
 where its mention in the Holy quran?",(Quran 2:130)
132,"This is a verse from the Holy Quran
""Behold! his Lord said to him: ""Bow (thy will to Me):"" He said: ""I bow (my will) to the Lord and Cherisher of the Universe.""""
 where its mention in the Holy quran?",(Quran 2:131)
133,"This is a verse from the Holy Quran
""And this was the legacy that Abraham left to his sons""
 where its mention in the Holy quran?",(Quran 2:132)
134,"This is a verse from the Holy Quran
""Were ye witnesses when death appeared before Jacob? Behold""
 where its mention in the Holy quran?",(Quran 2:133)
135,"This is a verse from the Holy Quran
""That was a people that hath passed away. They shall reap the fruit of what they did""
 where its mention in the Holy quran?",(Quran 2:134)
136,"This is a verse from the Holy Quran
""They say: ""Become Jews or Christians if ye would be guided (To salvation)."" Say thou: ""Nay! (I would rather) the Religion of Abraham the True""
 where its mention in the Holy quran?",(Quran 2:135)
137,"This is a verse from the Holy Quran
""Say ye: ""We believe in Allah""
 where its mention in the Holy quran?",(Quran 2:136)
138,"This is a verse from the Holy Quran
""So if they believe as ye believe""
 where its mention in the Holy quran?",(Quran 2:137)
139,"This is a verse from the Holy Quran
""(Our religion is) the Baptism of Allah: And who can baptize better than Allah? And it is He Whom we worship.""
 where its mention in the Holy quran?",(Quran 2:138)
140,"This is a verse from the Holy Quran
""Say: Will ye dispute with us about Allah""
 where its mention in the Holy quran?",(Quran 2:139)
141,"This is a verse from the Holy Quran
""Or do ye say that Abraham""
 where its mention in the Holy quran?",(Quran 2:140)
142,"This is a verse from the Holy Quran
""That was a people that hath passed away. They shall reap the fruit of what they did""
 where its mention in the Holy quran?",(Quran 2:141)
143,"This is a verse from the Holy Quran
""The fools among the people will say: ""What hath turned them from the Qibla to which they were used?"" Say: To Allah belong both east and West: He guideth whom He will to a Way that is straight.""
 where its mention in the Holy quran?",(Quran 2:142)
144,"This is a verse from the Holy Quran
""Thus""
 where its mention in the Holy quran?",(Quran 2:143)
145,"This is a verse from the Holy Quran
""We see the turning of thy face (for guidance to the heavens: now Shall We turn thee to a Qibla that shall please thee. Turn then Thy face in the direction of the sacred Mosque: Wherever ye are""
 where its mention in the Holy quran?",(Quran 2:144)
146,"This is a verse from the Holy Quran
""Even if thou wert to bring to the people of the Book all the Signs (together)""
 where its mention in the Holy quran?",(Quran 2:145)
147,"This is a verse from the Holy Quran
""The people of the Book know this as they know their own sons; but some of them conceal the truth which they themselves know.""
 where its mention in the Holy quran?",(Quran 2:146)
148,"This is a verse from the Holy Quran
""The Truth is from thy Lord; so be not at all in doubt.""
 where its mention in the Holy quran?",(Quran 2:147)
149,"This is a verse from the Holy Quran
""To each is a goal to which Allah turns him; then strive together (as in a race) Towards all that is good. Wheresoever ye are""
 where its mention in the Holy quran?",(Quran 2:148)
150,"This is a verse from the Holy Quran
""From whencesoever Thou startest forth""
 where its mention in the Holy quran?",(Quran 2:149)
151,"This is a verse from the Holy Quran
""So from whencesoever Thou startest forth""
 where its mention in the Holy quran?",(Quran 2:150)
152,"This is a verse from the Holy Quran
""A similar (favour have ye already received) in that We have sent among you a Messenger of your own""
 where its mention in the Holy quran?",(Quran 2:151)
153,"This is a verse from the Holy Quran
""Then do ye remember Me; I will remember you. Be grateful to Me""
 where its mention in the Holy quran?",(Quran 2:152)
154,"This is a verse from the Holy Quran
""O ye who believe! seek help with patient perseverance and prayer; for Allah is with those who patiently persevere.""
 where its mention in the Holy quran?",(Quran 2:153)
155,"This is a verse from the Holy Quran
""And say not of those who are slain in the way of Allah: ""They are dead."" Nay""
 where its mention in the Holy quran?",(Quran 2:154)
156,"This is a verse from the Holy Quran
""Be sure we shall test you with something of fear and hunger""
 where its mention in the Holy quran?",(Quran 2:155)
157,"This is a verse from the Holy Quran
""Who say""
 where its mention in the Holy quran?",(Quran 2:156)
158,"This is a verse from the Holy Quran
""They are those on whom (Descend) blessings from Allah""
 where its mention in the Holy quran?",(Quran 2:157)
159,"This is a verse from the Holy Quran
""Behold! Safa and Marwa are among the Symbols of Allah. So if those who visit the House in the Season or at other times""
 where its mention in the Holy quran?",(Quran 2:158)
160,"This is a verse from the Holy Quran
""Those who conceal the clear (Signs) We have sent down""
 where its mention in the Holy quran?",(Quran 2:159)
161,"This is a verse from the Holy Quran
""Except those who repent and make amends and openly declare (the Truth): To them I turn; for I am Oft-returning""
 where its mention in the Holy quran?",(Quran 2:160)
162,"This is a verse from the Holy Quran
""Those who reject Faith""
 where its mention in the Holy quran?",(Quran 2:161)
163,"This is a verse from the Holy Quran
""They will abide therein: Their penalty will not be lightened""
 where its mention in the Holy quran?",(Quran 2:162)
164,"This is a verse from the Holy Quran
""And your Allah is One Allah: There is no god but He""
 where its mention in the Holy quran?",(Quran 2:163)
165,"This is a verse from the Holy Quran
""Behold! in the creation of the heavens and the earth; in the alternation of the night and the day; in the sailing of the ships through the ocean for the profit of mankind; in the rain which Allah Sends down from the skies""
 where its mention in the Holy quran?",(Quran 2:164)
166,"This is a verse from the Holy Quran
""Yet there are men who take (for worship) others besides Allah""
 where its mention in the Holy quran?",(Quran 2:165)
167,"This is a verse from the Holy Quran
""Then would those who are followed clear themselves of those who follow (them) : They would see the penalty""
 where its mention in the Holy quran?",(Quran 2:166)
168,"This is a verse from the Holy Quran
""And those who followed would say: ""If only We had one more chance""
 where its mention in the Holy quran?",(Quran 2:167)
169,"This is a verse from the Holy Quran
""O ye people! Eat of what is on earth""
 where its mention in the Holy quran?",(Quran 2:168)
170,"This is a verse from the Holy Quran
""For he commands you what is evil and shameful""
 where its mention in the Holy quran?",(Quran 2:169)
171,"This is a verse from the Holy Quran
""When it is said to them: ""Follow what Allah hath revealed:"" They say: ""Nay! we shall follow the ways of our fathers."" What! even though their fathers Were void of wisdom and guidance?""
 where its mention in the Holy quran?",(Quran 2:170)
172,"This is a verse from the Holy Quran
""The parable of those who reject Faith is as if one were to shout Like a goat-herd""
 where its mention in the Holy quran?",(Quran 2:171)
173,"This is a verse from the Holy Quran
""O ye who believe! Eat of the good things that We have provided for you""
 where its mention in the Holy quran?",(Quran 2:172)
174,"This is a verse from the Holy Quran
""He hath only forbidden you dead meat""
 where its mention in the Holy quran?",(Quran 2:173)
175,"This is a verse from the Holy Quran
""Those who conceal Allah�s revelations in the Book""
 where its mention in the Holy quran?",(Quran 2:174)
176,"This is a verse from the Holy Quran
""They are the ones who buy Error in place of Guidance and Torment in place of Forgiveness. Ah! what boldness (They show) for the Fire!""
 where its mention in the Holy quran?",(Quran 2:175)
177,"This is a verse from the Holy Quran
""(Their doom is) because Allah sent down the Book in truth but those who seek causes of dispute in the Book are in a schism Far (from the purpose).""
 where its mention in the Holy quran?",(Quran 2:176)
178,"This is a verse from the Holy Quran
""It is not righteousness that ye turn your faces Towards east or West; but it is righteousness- to believe in Allah and the Last Day""
 where its mention in the Holy quran?",(Quran 2:177)
179,"This is a verse from the Holy Quran
""O ye who believe! the law of equality is prescribed to you in cases of murder: the free for the free""
 where its mention in the Holy quran?",(Quran 2:178)
180,"This is a verse from the Holy Quran
""In the Law of Equality there is (saving of) Life to you""
 where its mention in the Holy quran?",(Quran 2:179)
181,"This is a verse from the Holy Quran
""It is prescribed""
 where its mention in the Holy quran?",(Quran 2:180)
182,"This is a verse from the Holy Quran
""If anyone changes the bequest after hearing it""
 where its mention in the Holy quran?",(Quran 2:181)
183,"This is a verse from the Holy Quran
""But if anyone fears partiality or wrong-doing on the part of the testator""
 where its mention in the Holy quran?",(Quran 2:182)
184,"This is a verse from the Holy Quran
""O ye who believe! Fasting is prescribed to you as it was prescribed to those before you""
 where its mention in the Holy quran?",(Quran 2:183)
185,"This is a verse from the Holy Quran
""(Fasting) for a fixed number of days; but if any of you is ill""
 where its mention in the Holy quran?",(Quran 2:184)
186,"This is a verse from the Holy Quran
""Ramadhan is the (month) in which was sent down the Qur�an""
 where its mention in the Holy quran?",(Quran 2:185)
187,"This is a verse from the Holy Quran
""When My servants ask thee concerning Me""
 where its mention in the Holy quran?",(Quran 2:186)
188,"This is a verse from the Holy Quran
""Permitted to you""
 where its mention in the Holy quran?",(Quran 2:187)
189,"This is a verse from the Holy Quran
""And do not eat up your property among yourselves for vanities""
 where its mention in the Holy quran?",(Quran 2:188)
190,"This is a verse from the Holy Quran
""They ask thee concerning the New Moons. Say: They are but signs to mark fixed periods of time in (the affairs of) men""
 where its mention in the Holy quran?",(Quran 2:189)
191,"This is a verse from the Holy Quran
""Fight in the cause of Allah those who fight you""
 where its mention in the Holy quran?",(Quran 2:190)
192,"This is a verse from the Holy Quran
""And slay them wherever ye catch them""
 where its mention in the Holy quran?",(Quran 2:191)
193,"This is a verse from the Holy Quran
""But if they cease""
 where its mention in the Holy quran?",(Quran 2:192)
194,"This is a verse from the Holy Quran
""And fight them on until there is no more Tumult or oppression""
 where its mention in the Holy quran?",(Quran 2:193)
195,"This is a verse from the Holy Quran
""The prohibited month for the prohibited month""
 where its mention in the Holy quran?",(Quran 2:194)
196,"This is a verse from the Holy Quran
""And spend of your substance in the cause of Allah""
 where its mention in the Holy quran?",(Quran 2:195)
