"""Beseech","""""Beseech""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:68), (2:69), (2:70), "
"""Besides","""""Besides""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(37:23), "
"""Both","""""Both""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:50), "
"""Bow","""""Bow""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:131), (17:61), "
"""Bring","""""Bring""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(6:150), (10:79), (12:50), (12:54), (14:5), (18:96), (37:22), "
"""Burn","""""Burn""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(52:16), "
"""But","""""But""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:39), (7:126), (7:197), (10:72), (11:37), (11:39), (11:90), (12:27), (15:69), (18:38), (18:88), (20:44), (20:58), (20:82), (20:124), (22:51), (23:110), (26:56), (26:89), (26:150), (27:11), (27:35), (28:77), (29:32), (31:15), (36:62), (37:24), (37:96), (41:23), (52:27), (71:6), (74:45), "
"""By","""""By""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(6:23), (12:73), (12:85), (12:91), (12:95), (23:100), (26:15), (26:62), (37:56), "
"""Call","""""Call""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:195), (14:6), (17:56), (17:110), (28:64), (34:22), (40:60), "
"""Can","""""Can""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(9:52), "
"""Come","""""Come""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:167), (4:61), (5:104), (6:151), (89:28), "
"""Comest","""""Comest""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:70), "
"""Construct","""""Construct""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(23:27), "
"""Depart","""""Depart""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(77:29), (77:30), "
"""Did","""""Did""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(15:70), (18:72), (18:75), (23:115), (26:18), (26:25), (36:60), (38:63), (40:50), "
"""Dispute","""""Dispute""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(50:28), "
"""Do","""""Do""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:63), (7:69), (7:80), (10:50), (11:121), (13:16), (15:54), (26:72), (26:75), (26:128), (29:29), (46:4), (71:1), "
"""Does","""""Does""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(23:35), "
"""Dost","""""Dost""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(11:73), (19:46), "
"""Dwell","""""Dwell""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:161), "
"""Each","""""Each""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(20:135), "
"""Ease","""""Ease""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(20:26), "
"""Eat","""""Eat""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(20:81), (52:19), (69:24), (77:43), "
"""Embark","""""Embark""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(11:41), "
"""Embrace","""""Embrace""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(36:64), "
"""Enjoy","""""Enjoy""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(11:65), "
"""Enough","""""Enough""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(5:104), (10:29), (13:43), (17:96), (29:52), "
"""Enter","""""Enter""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:58), (15:46), (36:26), (39:72), (40:76), (50:34), (89:29), "
"""Even","""""Even""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:47), (26:30), (39:43), "
"""Everyone","""""Everyone""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(17:84), "
"""Everything","""""Everything""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(46:25), "
"""Evil","""""Evil""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(25:66), "
"""Except","""""Except""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(15:40), (15:60), (37:59), (38:83), (72:27), "
"""Excepting","""""Excepting""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(15:59), "
"""Far","""""Far""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(23:36), "
"""Fear","""""Fear""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(15:53), (20:46), (20:68), "
"""Fie","""""Fie""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(21:67), "
"""Fighting","""""Fighting""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:217), "
"""Follow","""""Follow""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:170), (29:12), "
"""For","""""For""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:173), (5:29), (6:57), (6:79), (7:76), (7:81), (7:125), (7:196), (12:47), (13:29), (15:42), (18:20), (20:35), (20:73), (25:16), (26:77), (29:17), (29:25), (29:34), (36:25), (36:27), (43:24), (43:64), (44:20), (71:27), "
"""Forgive","""""Forgive""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(26:86), "
"""Freely","""""Freely""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(26:133), "
"""From","""""From""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(20:93), (38:68), "
"""Further","""""Further""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(69:32), (71:9), "
"""Gardens","""""Gardens""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(26:147), "
"""Get","""""Get""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:38), (7:13), (7:18), (7:24), (20:97), (20:123), "
"""Give","""""Give""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:14), (26:181), "
"""Glory","""""Glory""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:32), (10:10), (25:18), (68:29), "
"""Go","""""Go""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:93), (17:63), (20:24), (20:42), (20:43), (25:36), (27:28), (27:37), (27:69), (68:22), (79:17), "
"""Good","""""Good""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(57:12), "
"""Grant","""""Grant""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(9:49), (26:84), "
"""Granted","""""Granted""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(20:36), "
"""Greater","""""Greater""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(40:10), "
"""Grieve","""""Grieve""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(19:24), "
"""Groan","""""Groan""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(23:65), "
"""Had","""""Had""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(37:57), (67:10), "
"""Has","""""Has""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(34:8), (38:5), "
"""Hast","""""Hast""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:78), (20:57), (46:22), "
"""Hath","""""Hath""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:59), "
"""Have","""""Have""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(35:40), "
"""He","""""He""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:68), (2:69), (2:71), (3:46), (6:18), (6:65), (20:53), (20:106), (23:24), (23:25), (23:38), (25:29), (25:42), (29:21), (38:24), (40:40), (67:29), (72:26), "
"""Here","""""Here""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(26:155), (50:23), "
"""His","""""His""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:110), (26:35), "
"""Hold","""""Hold""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:63), (2:93), "
"""How","""""How""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:247), (6:81), (19:20), (19:29), "
"""I","""""I""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:131), (4:119), (5:115), (6:15), (6:50), (6:56), (6:56), (6:145), (7:12), (7:62), (7:68), (7:188), (8:12), (10:49), (11:25), (11:31), (11:43), (11:54), (11:56), (11:119), (12:36), (12:36), (12:43), (12:86), (13:36), (15:28), (15:33), (15:89), (18:110), (19:18), (19:30), (20:13), (20:96), (21:111), (23:111), (26:20), (26:107), (26:114), (26:115), (26:125), (26:143), (26:162), (26:168), (26:178), (27:7), (27:21), (27:22), (27:23), (27:24), (27:40), (28:27), (29:26), (34:46), (36:24), (37:51), (37:99), (38:76), (39:13), (40:27), (40:66), (41:6), (43:26), (46:9), (54:10), (69:20), (72:20), (72:25), "
"""If","""""If""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:94), (2:167), (3:31), (5:28), (5:118), (6:17), (6:58), (6:148), (6:157), (7:106), (8:70), (10:16), (11:14), (11:57), (12:14), (12:40), (12:77), (14:7), (14:8), (16:35), (17:88), (17:100), (18:70), (18:76), (18:109), (19:75), (23:34), (26:29), (26:116), (26:167), (28:57), (33:28), (34:50), (37:168), (43:81), (44:21), (46:11), (46:32), (59:11), (72:16), "
"""Ill","""""Ill""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(27:47), "
"""In","""""In""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:219), (10:58), (10:85), (20:23), (23:40), (23:67), (23:100), (40:74), "
"""Indeed","""""Indeed""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(30:56), (56:55), (56:67), (68:27), (77:32), "
"""Is","""""Is""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:124), (6:30), (10:53), (14:10), (25:15), (36:81), (37:58), (37:86), (39:64), (52:15), (54:25), "
"""It","""""It""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(6:64), (6:82), (10:35), (12:26), (14:22), (17:52), (18:40), (21:110), (26:136), (27:30), (27:68), (27:72), (36:22), (37:28), (39:14), (45:26), (58:21), (67:23), (67:24), (68:32), (72:21), (79:12), (91:13), "
"""Judge","""""Judge""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(26:118), "
"""Keep","""""Keep""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:111), (26:36), "
"""Kings","""""Kings""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(27:34), "
"""Know","""""Know""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:89), "
"""Lead","""""Lead""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(17:64), "
"""Lest","""""Lest""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(39:56), "
"""Let","""""Let""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(68:24), "
"""Life","""""Life""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(5:45), "
"""Listen","""""Listen""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(41:26), "
"""Lord","""""Lord""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(19:65), (26:28), "
"""Make","""""Make""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:11), (26:85), "
"""Makest","""""Makest""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:67), "
"""March","""""March""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(44:23), "
"""Marked","""""Marked""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(51:34), "
"""May","""""May""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(18:66), "
"""Move","""""Move""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(28:32), "
"""My","""""My""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:126), (7:29), (12:5), (21:4), (23:66), (25:77), (26:13), (26:188), (28:37), (69:29), "
"""Naught","""""Naught""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(25:4), "
"""Nay","""""Nay""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(6:41), (12:18), (12:83), (19:19), (21:5), (21:63), (26:74), (37:29), (38:60), (48:12), "
"""Nay!","""""Nay!""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:135), (2:170), (34:33), "
"""Never","""""Never""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(5:117), (12:66), (20:72), "
"""No","""""No""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(6:90), (13:43), (14:12), (25:57), (26:50), (26:109), (26:127), (26:145), (26:164), (26:180), (34:23), (34:47), (38:69), (38:86), (42:23), (72:22), "
"""None","""""None""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:111), (11:36), "
"""Nor","""""Nor""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:53), (18:36), (20:119), (37:30), (69:36), (74:44), "
"""Not","""""Not""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(5:100), (29:22), (37:164), "
"""Nothing","""""Nothing""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(6:91), (20:107), "
"""Now","""""Now""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:71), (6:104), (12:51), (12:60), (19:5), (20:22), (25:19), (26:131), (26:187), (27:10), (27:12), (28:31), "
"""O","""""O""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:33), (2:35), (2:54), (2:55), (2:61), (3:26), (3:35), (3:40), (3:41), (3:42), (3:43), (3:45), (3:47), (3:55), (3:64), (3:98), (3:99), (5:20), (5:21), (5:22), (5:24), (5:25), (5:59), (5:68), (5:72), (5:77), (5:110), (5:114), (5:116), (6:130), (6:135), (7:19), (7:59), (7:61), (7:67), (7:104), (7:115), (7:138), (7:144), (7:151), (7:158), (8:32), (10:71), (10:84), (10:104), (10:108), (11:28), (11:32), (11:44), (11:46), (11:47), (11:48), (11:51), (11:53), (11:62), (11:63), (11:81), (11:87), (11:88), (11:91), (11:92), (12:4), (12:11), (12:17), (12:29), (12:33), (12:39), (12:41), (12:46), (12:46), (12:67), (12:78), (12:87), (12:97), (12:101), (14:35), (14:36), (14:37), (14:38), (14:41), (15:6), (15:32), (15:36), (15:39), (17:80), (18:94), (19:4), (19:7), (19:8), (19:10), (19:12), (19:28), (19:43), (19:44), (19:45), (20:25), (20:65), (20:86), (20:92), (20:94), (20:117), (20:125), (21:112), (22:49), (23:26), (23:29), (23:39), (23:93), (23:97), (23:118), (25:30), (26:12), (26:83), (26:117), (26:169), (27:9), (27:16), (27:46), (28:16), (28:17), (28:26), (28:33), (28:38), (29:30), (29:36), (31:16), (31:17), (34:10), (37:100), (37:104), (38:75), (38:79), (39:10), (39:39), (39:46), (39:53), (40:29), (40:30), (40:36), (40:38), (40:39), (43:77), (46:31), (62:6), (71:2), (71:5), (71:21), (71:28), (89:27), "
"""Obedience""","""""Obedience""""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(4:81), "
"""Obey","""""Obey""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:32), (24:54), (36:21), "
"""Of","""""Of""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:34), (10:35), (11:34), (26:165), (69:28), "
"""Oh!","""""Oh!""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(28:79), "
"""On","""""On""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:30), (6:16), (32:29), "
"""Only","""""Only""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(26:51), "
"""Or","""""Or""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(17:51), (17:91), (17:92), (17:93), (18:41), (25:8), (26:73), (39:57), (39:58), "
"""Other","""""Other""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(11:55), "
"""Our","""""Our""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:127), (2:128), (2:129), (2:201), (3:8), (3:9), (3:53), (3:147), (3:192), (3:193), (3:194), (7:23), (7:173), (10:88), (14:44), (15:15), (20:45), (20:50), (21:112), (23:107), (33:67), (33:68), (34:19), (34:26), (35:37), (36:16), (38:16), (38:61), (40:7), (40:11), (41:5), (41:29), (44:12), (50:27), (59:10), (60:5), "
"""Partners""","""""Partners""""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(30:13), (68:41), "
"""Partners"".","""""Partners"".""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(30:13), "
"""Peace","""""Peace""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(13:24), (19:47), (37:79), (37:109), (37:120), (37:130), "
"""Peace!""","""""Peace!""""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(36:58), "
"""Peace!"";","""""Peace!"";""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(33:44), "
"""Pour","""""Pour""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:50), "
"""Praise","""""Praise""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:43), (14:39), (17:111), (27:15), (27:93), (35:34), (39:74), "
"""Pray","""""Pray""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:128), (40:49), "
"""Produce","""""Produce""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:111), "
"""Provide","""""Provide""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:87), "
"""Punishment","""""Punishment""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:71), "
"""Read","""""Read""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(17:14), "
"""Really","""""Really""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:13), "
"""Rebuke","""""Rebuke""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(18:73), "
"""Respite","""""Respite""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(15:37), (38:80), "
"""Restore","""""Restore""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(44:18), "
"""Retain","""""Retain""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(33:37), "
"""Sawest","""""Sawest""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(18:63), "
"""Say","""""Say""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:77), "
"""Saying","""""Saying""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(71:10), "
"""See","""""See""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:39), (10:59), (41:52), (46:10), (67:28), (67:30), "
"""Seest","""""Seest""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(17:62), "
"""Seize","""""Seize""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(44:47), (69:30), "
"""Send","""""Send""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:12), "
"""Serve","""""Serve""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(39:15), "
"""Set","""""Set""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:55), "
"""Shall","""""Shall""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:13), (5:60), (6:14), (6:71), (6:114), (6:164), (7:140), (12:64), (18:103), (23:47), (26:111), (26:203), (34:7), (36:23), "
"""Show","""""Show""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:260), (26:31), (31:12), (34:27), "
"""Slay","""""Slay""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:9), (12:10), (29:24), "
"""So","""""So""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(16:29), (18:81), (19:9), (19:21), (19:26), (19:33), (20:28), (20:47), (26:16), (26:21), (26:108), (26:110), (26:126), (26:144), (26:163), (26:179), (37:31), (54:39), (69:35), (71:4), (71:8), (78:30), "
"""Something","""""Something""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(40:31), "
"""Soon","""""Soon""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:12), (12:98), (27:27), (40:44), "
"""Spend","""""Spend""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(9:53), "
"""Strike","""""Strike""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:60), (2:73), (26:63), (38:42), "
"""Such","""""Such""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:51), (23:83), (38:39), "
"""Suckle","""""Suckle""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(28:7), "
"""Surely","""""Surely""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:138), (68:51), "
