,prompt,completion
59," (And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker) give me the refrence","Refrence: (2,54)"
60," (And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly) give me the refrence","Refrence: (2,55)"
61," (And remember We said: ""Enter this town) give me the refrence","Refrence: (2,58)"
62, (But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven) give me the refrence,"Refrence: (2,59)"
63," (And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah) give me the refrence","Refrence: (2,60)"
64," (And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth) give me the refrence","Refrence: (2,61)"
65, (Those who believe (in the Qur�an)) give me the refrence,"Refrence: (2,62)"
66," (And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai) : (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah."") give me the refrence","Refrence: (2,63)"
67, (But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you) give me the refrence,"Refrence: (2,64)"
68," (And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes) give me the refrence","Refrence: (2,65)"
69, (So We made it an example to their own time and to their posterity) give me the refrence,"Refrence: (2,66)"
70," (And remember Moses said to his people: ""Allah commands that ye sacrifice a heifer."" They said: ""Makest thou a laughing-stock of us?"" He said: ""Allah save me from being an ignorant (fool)!"") give me the refrence","Refrence: (2,67)"
71," (They said: ""Beseech on our behalf Thy Lord to make plain to us what (heifer) it is!"" He said; ""He says: The heifer should be neither too old nor too young) give me the refrence","Refrence: (2,68)"
72," (They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer) give me the refrence","Refrence: (2,69)"
73," (They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance) give me the refrence","Refrence: (2,70)"
74," (He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice) give me the refrence","Refrence: (2,71)"
75, (Remember ye slew a man and fell into a dispute among yourselves as to the crime: But Allah was to bring forth what ye did hide.) give me the refrence,"Refrence: (2,72)"
76," (So We said: ""Strike the (body) with a piece of the (heifer)."" Thus Allah bringeth the dead to life and showeth you His Signs: Perchance ye may understand.) give me the refrence","Refrence: (2,73)"
77, (Thenceforth were your hearts hardened: They became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of Allah. And Allah is not unmindful of what ye do.) give me the refrence,"Refrence: (2,74)"
78, (Can ye (o ye men of Faith) entertain the hope that they will believe in you?- Seeing that a party of them heard the Word of Allah) give me the refrence,"Refrence: (2,75)"
79, (Behold! when they meet the men of Faith) give me the refrence,"Refrence: (2,76)"
80, (Know they not that Allah knoweth what they conceal and what they reveal?) give me the refrence,"Refrence: (2,77)"
81, (And there are among them illiterates) give me the refrence,"Refrence: (2,78)"
82, (Then woe to those who write the Book with their own hands) give me the refrence,"Refrence: (2,79)"
83, (Nay) give me the refrence,"Refrence: (2,81)"
84, (But those who have faith and work righteousness) give me the refrence,"Refrence: (2,82)"
85, (And remember We took a covenant from the Children of Israel (to this effect): Worship none but Allah; treat with kindness your parents and kindred) give me the refrence,"Refrence: (2,83)"
86, (And remember We took your covenant (to this effect): Shed no blood amongst you) give me the refrence,"Refrence: (2,84)"
87, (After this it is ye) give me the refrence,"Refrence: (2,85)"
88, (These are the people who buy the life of this world at the price of the Hereafter: their penalty shall not be lightened nor shall they be helped.) give me the refrence,"Refrence: (2,86)"
89, (We gave Moses the Book and followed him up with a succession of messengers; We gave Jesus the son of Mary Clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you a messenger with what ye yourselves desire not) give me the refrence,"Refrence: (2,87)"
90, (They say) give me the refrence,"Refrence: (2,88)"
91, (And when there comes to them a Book from Allah) give me the refrence,"Refrence: (2,89)"
92, (Miserable is the price for which they have sold their souls) give me the refrence,"Refrence: (2,90)"
93, (When it is said to them) give me the refrence,"Refrence: (2,91)"
94, (There came to you Moses with clear (Signs); yet ye worshipped the calf (Even) after that) give me the refrence,"Refrence: (2,92)"
95," (And remember We took your covenant and We raised above you (the towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you) give me the refrence","Refrence: (2,93)"
96," (Say: ""If the last Home) give me the refrence","Refrence: (2,94)"
97, (But they will never seek for death) give me the refrence,"Refrence: (2,95)"
98, (Thou wilt indeed find them) give me the refrence,"Refrence: (2,96)"
99, (Say: Whoever is an enemy to Gabriel-for he brings down the (revelation) to thy heart by Allah�s will) give me the refrence,"Refrence: (2,97)"
100, (Whoever is an enemy to Allah and His angels and messengers) give me the refrence,"Refrence: (2,98)"
101, (We have sent down to thee Manifest Signs (ayat); and none reject them but those who are perverse.) give me the refrence,"Refrence: (2,99)"
102, (Is it not (the case) that every time they make a covenant) give me the refrence,"Refrence: (2,100)"
103, (And when there came to them a messenger from Allah) give me the refrence,"Refrence: (2,101)"
104, (They followed what the evil ones gave out (falsely) against the power of Solomon: the blasphemers Were) give me the refrence,"Refrence: (2,102)"
105, (If they had kept their Faith and guarded themselves from evil) give me the refrence,"Refrence: (2,103)"
106, (O ye of Faith! Say not (to the Messenger) words of ambiguous import) give me the refrence,"Refrence: (2,104)"
107, (It is never the wish of those without Faith among the People of the Book) give me the refrence,"Refrence: (2,105)"
108, (None of Our revelations do We abrogate or cause to be forgotten) give me the refrence,"Refrence: (2,106)"
109, (Knowest thou not that to Allah belongeth the dominion of the heavens and the earth? And besides Him ye have neither patron nor helper.) give me the refrence,"Refrence: (2,107)"
110, (Would ye question your Messenger as Moses was questioned of old? but whoever changeth from Faith to Unbelief) give me the refrence,"Refrence: (2,108)"
111, (Quite a number of the People of the Book wish they could Turn you (people) back to infidelity after ye have believed) give me the refrence,"Refrence: (2,109)"
112, (And be steadfast in prayer and regular in charity: And whatever good ye send forth for your souls before you) give me the refrence,"Refrence: (2,110)"
113," (And they say: ""None shall enter Paradise unless he be a Jew or a Christian."" Those are their (vain) desires. Say: ""Produce your proof if ye are truthful."") give me the refrence","Refrence: (2,111)"
114, (Nay) give me the refrence,"Refrence: (2,112)"
115," (The Jews say: ""The Christians have naught (to stand) upon; and the Christians say: ""The Jews have naught (To stand) upon."" Yet they (Profess to) study the (same) Book. Like unto their word is what those say who know not; but Allah will judge between them in their quarrel on the Day of Judgment.) give me the refrence","Refrence: (2,113)"
116, (And who is more unjust than he who forbids that in places for the worship of Allah) give me the refrence,"Refrence: (2,114)"
117, (To Allah belong the east and the West: Whithersoever ye turn) give me the refrence,"Refrence: (2,115)"
118," (They say: ""Allah hath begotten a son"" :Glory be to Him.-Nay) give me the refrence","Refrence: (2,116)"
119, (To Him is due the primal origin of the heavens and the earth: When He decreeth a matter) give me the refrence,"Refrence: (2,117)"
120, (Verily We have sent thee in truth as a bearer of glad tidings and a warner: But of thee no question shall be asked of the Companions of the Blazing Fire.) give me the refrence,"Refrence: (2,119)"
121," (Never will the Jews or the Christians be satisfied with thee unless thou follow their form of religion. Say: ""The Guidance of Allah) give me the refrence","Refrence: (2,120)"
122, (Those to whom We have sent the Book study it as it should be studied: They are the ones that believe therein: Those who reject faith therein) give me the refrence,"Refrence: (2,121)"
123, (O Children of Israel! call to mind the special favour which I bestowed upon you) give me the refrence,"Refrence: (2,122)"
124, (Then guard yourselves against a-Day when one soul shall not avail another) give me the refrence,"Refrence: (2,123)"
125, (And remember that Abraham was tried by his Lord with certain commands) give me the refrence,"Refrence: (2,124)"
126, (Remember We made the House a place of assembly for men and a place of safety; and take ye the station of Abraham as a place of prayer; and We covenanted with Abraham and Isma�il) give me the refrence,"Refrence: (2,125)"
127," (And remember Abraham said: ""My Lord) give me the refrence","Refrence: (2,126)"
128," (And remember Abraham and Isma�il raised the foundations of the House (With this prayer): ""Our Lord! Accept (this service) from us: For Thou art the All-Hearing) give me the refrence","Refrence: (2,127)"
129," (""Our Lord! make of us Muslims) give me the refrence","Refrence: (2,128)"
130," (""Our Lord! send amongst them a Messenger of their own) give me the refrence","Refrence: (2,129)"
131, (And who turns away from the religion of Abraham but such as debase their souls with folly? Him We chose and rendered pure in this world: And he will be in the Hereafter in the ranks of the Righteous.) give me the refrence,"Refrence: (2,130)"
132," (Behold! his Lord said to him: ""Bow (thy will to Me):"" He said: ""I bow (my will) to the Lord and Cherisher of the Universe."") give me the refrence","Refrence: (2,131)"
133, (And this was the legacy that Abraham left to his sons) give me the refrence,"Refrence: (2,132)"
134, (Were ye witnesses when death appeared before Jacob? Behold) give me the refrence,"Refrence: (2,133)"
135, (That was a people that hath passed away. They shall reap the fruit of what they did) give me the refrence,"Refrence: (2,134)"
136," (They say: ""Become Jews or Christians if ye would be guided (To salvation)."" Say thou: ""Nay! (I would rather) the Religion of Abraham the True) give me the refrence","Refrence: (2,135)"
137," (Say ye: ""We believe in Allah) give me the refrence","Refrence: (2,136)"
138, (So if they believe as ye believe) give me the refrence,"Refrence: (2,137)"
139, ((Our religion is) the Baptism of Allah: And who can baptize better than Allah? And it is He Whom we worship.) give me the refrence,"Refrence: (2,138)"
140, (Say: Will ye dispute with us about Allah) give me the refrence,"Refrence: (2,139)"
141, (Or do ye say that Abraham) give me the refrence,"Refrence: (2,140)"
142, (That was a people that hath passed away. They shall reap the fruit of what they did) give me the refrence,"Refrence: (2,141)"
143," (The fools among the people will say: ""What hath turned them from the Qibla to which they were used?"" Say: To Allah belong both east and West: He guideth whom He will to a Way that is straight.) give me the refrence","Refrence: (2,142)"
144, (Thus) give me the refrence,"Refrence: (2,143)"
145, (We see the turning of thy face (for guidance to the heavens: now Shall We turn thee to a Qibla that shall please thee. Turn then Thy face in the direction of the sacred Mosque: Wherever ye are) give me the refrence,"Refrence: (2,144)"
146, (Even if thou wert to bring to the people of the Book all the Signs (together)) give me the refrence,"Refrence: (2,145)"
147, (The people of the Book know this as they know their own sons; but some of them conceal the truth which they themselves know.) give me the refrence,"Refrence: (2,146)"
148, (The Truth is from thy Lord; so be not at all in doubt.) give me the refrence,"Refrence: (2,147)"
149, (To each is a goal to which Allah turns him; then strive together (as in a race) Towards all that is good. Wheresoever ye are) give me the refrence,"Refrence: (2,148)"
150, (From whencesoever Thou startest forth) give me the refrence,"Refrence: (2,149)"
151, (So from whencesoever Thou startest forth) give me the refrence,"Refrence: (2,150)"
152, (A similar (favour have ye already received) in that We have sent among you a Messenger of your own) give me the refrence,"Refrence: (2,151)"
153, (Then do ye remember Me; I will remember you. Be grateful to Me) give me the refrence,"Refrence: (2,152)"
154, (O ye who believe! seek help with patient perseverance and prayer; for Allah is with those who patiently persevere.) give me the refrence,"Refrence: (2,153)"
155," (And say not of those who are slain in the way of Allah: ""They are dead."" Nay) give me the refrence","Refrence: (2,154)"
156, (Be sure we shall test you with something of fear and hunger) give me the refrence,"Refrence: (2,155)"
157, (Who say) give me the refrence,"Refrence: (2,156)"
158, (They are those on whom (Descend) blessings from Allah) give me the refrence,"Refrence: (2,157)"
159, (Behold! Safa and Marwa are among the Symbols of Allah. So if those who visit the House in the Season or at other times) give me the refrence,"Refrence: (2,158)"
160, (Those who conceal the clear (Signs) We have sent down) give me the refrence,"Refrence: (2,159)"
161, (Except those who repent and make amends and openly declare (the Truth): To them I turn; for I am Oft-returning) give me the refrence,"Refrence: (2,160)"
162, (Those who reject Faith) give me the refrence,"Refrence: (2,161)"
163, (They will abide therein: Their penalty will not be lightened) give me the refrence,"Refrence: (2,162)"
164, (And your Allah is One Allah: There is no god but He) give me the refrence,"Refrence: (2,163)"
165, (Behold! in the creation of the heavens and the earth; in the alternation of the night and the day; in the sailing of the ships through the ocean for the profit of mankind; in the rain which Allah Sends down from the skies) give me the refrence,"Refrence: (2,164)"
166, (Yet there are men who take (for worship) others besides Allah) give me the refrence,"Refrence: (2,165)"
167, (Then would those who are followed clear themselves of those who follow (them) : They would see the penalty) give me the refrence,"Refrence: (2,166)"
168," (And those who followed would say: ""If only We had one more chance) give me the refrence","Refrence: (2,167)"
169, (O ye people! Eat of what is on earth) give me the refrence,"Refrence: (2,168)"
170, (For he commands you what is evil and shameful) give me the refrence,"Refrence: (2,169)"
171," (When it is said to them: ""Follow what Allah hath revealed:"" They say: ""Nay! we shall follow the ways of our fathers."" What! even though their fathers Were void of wisdom and guidance?) give me the refrence","Refrence: (2,170)"
172, (The parable of those who reject Faith is as if one were to shout Like a goat-herd) give me the refrence,"Refrence: (2,171)"
173, (O ye who believe! Eat of the good things that We have provided for you) give me the refrence,"Refrence: (2,172)"
174, (He hath only forbidden you dead meat) give me the refrence,"Refrence: (2,173)"
175, (Those who conceal Allah�s revelations in the Book) give me the refrence,"Refrence: (2,174)"
176, (They are the ones who buy Error in place of Guidance and Torment in place of Forgiveness. Ah! what boldness (They show) for the Fire!) give me the refrence,"Refrence: (2,175)"
177, ((Their doom is) because Allah sent down the Book in truth but those who seek causes of dispute in the Book are in a schism Far (from the purpose).) give me the refrence,"Refrence: (2,176)"
178, (It is not righteousness that ye turn your faces Towards east or West; but it is righteousness- to believe in Allah and the Last Day) give me the refrence,"Refrence: (2,177)"
179, (O ye who believe! the law of equality is prescribed to you in cases of murder: the free for the free) give me the refrence,"Refrence: (2,178)"
180, (In the Law of Equality there is (saving of) Life to you) give me the refrence,"Refrence: (2,179)"
181, (It is prescribed) give me the refrence,"Refrence: (2,180)"
182, (If anyone changes the bequest after hearing it) give me the refrence,"Refrence: (2,181)"
183, (But if anyone fears partiality or wrong-doing on the part of the testator) give me the refrence,"Refrence: (2,182)"
184, (O ye who believe! Fasting is prescribed to you as it was prescribed to those before you) give me the refrence,"Refrence: (2,183)"
185, ((Fasting) for a fixed number of days; but if any of you is ill) give me the refrence,"Refrence: (2,184)"
186, (Ramadhan is the (month) in which was sent down the Qur�an) give me the refrence,"Refrence: (2,185)"
187, (When My servants ask thee concerning Me) give me the refrence,"Refrence: (2,186)"
188, (Permitted to you) give me the refrence,"Refrence: (2,187)"
189, (And do not eat up your property among yourselves for vanities) give me the refrence,"Refrence: (2,188)"
190, (They ask thee concerning the New Moons. Say: They are but signs to mark fixed periods of time in (the affairs of) men) give me the refrence,"Refrence: (2,189)"
191, (Fight in the cause of Allah those who fight you) give me the refrence,"Refrence: (2,190)"
192, (And slay them wherever ye catch them) give me the refrence,"Refrence: (2,191)"
193, (But if they cease) give me the refrence,"Refrence: (2,192)"
194, (And fight them on until there is no more Tumult or oppression) give me the refrence,"Refrence: (2,193)"
195, (The prohibited month for the prohibited month) give me the refrence,"Refrence: (2,194)"
196, (And spend of your substance in the cause of Allah) give me the refrence,"Refrence: (2,195)"
197, (And complete the Hajj or �umra in the service of Allah. But if ye are prevented (From completing it)) give me the refrence,"Refrence: (2,196)"
198, (For Hajj are the months well known. If any one undertakes that duty therein) give me the refrence,"Refrence: (2,197)"
199, (It is no crime in you if ye seek of the bounty of your Lord (during pilgrimage). Then when ye pour down from (Mount) Arafat) give me the refrence,"Refrence: (2,198)"
200, (Then pass on at a quick pace from the place whence it is usual for the multitude so to do) give me the refrence,"Refrence: (2,199)"
201, (So when ye have accomplished your holy rites) give me the refrence,"Refrence: (2,200)"
202," (And there are men who say: ""Our Lord! Give us good in this world and good in the Hereafter) give me the refrence","Refrence: (2,201)"
203, (To these will be allotted what they have earned; and Allah is quick in account.) give me the refrence,"Refrence: (2,202)"
204, (Celebrate the praises of Allah during the Appointed Days. But if any one hastens to leave in two days) give me the refrence,"Refrence: (2,203)"
205, (There is the type of man whose speech about this world�s life May dazzle thee) give me the refrence,"Refrence: (2,204)"
206, (When he turns his back) give me the refrence,"Refrence: (2,205)"
207, (When it is said to him) give me the refrence,"Refrence: (2,206)"
208, (And there is the type of man who gives his life to earn the pleasure of Allah: And Allah is full of kindness to (His) devotees.) give me the refrence,"Refrence: (2,207)"
209, (O ye who believe! Enter into Islam whole-heartedly; and follow not the footsteps of the evil one; for he is to you an avowed enemy.) give me the refrence,"Refrence: (2,208)"
210, (If ye backslide after the clear (Signs) have come to you) give me the refrence,"Refrence: (2,209)"
211, (Will they wait until Allah comes to them in canopies of clouds) give me the refrence,"Refrence: (2,210)"
212, (Ask the Children of Israel how many clear (Signs) We have sent them. But if any one) give me the refrence,"Refrence: (2,211)"
213, (The life of this world is alluring to those who reject faith) give me the refrence,"Refrence: (2,212)"
214, (Mankind was one single nation) give me the refrence,"Refrence: (2,213)"
215, (Or do ye think that ye shall enter the Garden (of bliss) without such (trials) as came to those who passed away before you? they encountered suffering and adversity) give me the refrence,"Refrence: (2,214)"
216, (They ask thee what they should spend (In charity). Say: Whatever ye spend that is good) give me the refrence,"Refrence: (2,215)"
217, (Fighting is prescribed for you) give me the refrence,"Refrence: (2,216)"
218," (They ask thee concerning fighting in the Prohibited Month. Say: ""Fighting therein is a grave (offence); but graver is it in the sight of Allah to prevent access to the path of Allah) give me the refrence","Refrence: (2,217)"
219, (Those who believed and those who suffered exile and fought (and strove and struggled) in the path of Allah) give me the refrence,"Refrence: (2,218)"
220," (They ask thee concerning wine and gambling. Say: ""In them is great sin) give me the refrence","Refrence: (2,219)"
221," ((Their bearings) on this life and the Hereafter. They ask thee concerning orphans. Say: ""The best thing to do is what is for their good; if ye mix their affairs with yours) give me the refrence","Refrence: (2,220)"
222, (Do not marry unbelieving women (idolaters)) give me the refrence,"Refrence: (2,221)"
223, (They ask thee concerning women�s courses. Say: They are a hurt and a pollution: So keep away from women in their courses) give me the refrence,"Refrence: (2,222)"
224, (Your wives are as a tilth unto you; so approach your tilth when or how ye will; but do some good act for your souls beforehand; and fear Allah. And know that ye are to meet Him (in the Hereafter)) give me the refrence,"Refrence: (2,223)"
225, (And make not Allah�s (name) an excuse in your oaths against doing good) give me the refrence,"Refrence: (2,224)"
226, (Allah will not call you to account for thoughtlessness in your oaths) give me the refrence,"Refrence: (2,225)"
227, (For those who take an oath for abstention from their wives) give me the refrence,"Refrence: (2,226)"
228, (But if their intention is firm for divorce) give me the refrence,"Refrence: (2,227)"
229, (Divorced women shall wait concerning themselves for three monthly periods. Nor is it lawful for them to hide what Allah Hath created in their wombs) give me the refrence,"Refrence: (2,228)"
230, (A divorce is only permissible twice: after that) give me the refrence,"Refrence: (2,229)"
231, (So if a husband divorces his wife (irrevocably)) give me the refrence,"Refrence: (2,230)"
232, (When ye divorce women) give me the refrence,"Refrence: (2,231)"
233, (When ye divorce women) give me the refrence,"Refrence: (2,232)"
234, (The mothers shall give such to their offspring for two whole years) give me the refrence,"Refrence: (2,233)"
235, (If any of you die and leave widows behind) give me the refrence,"Refrence: (2,234)"
236, (There is no blame on you if ye make an offer of betrothal or hold it in your hearts. Allah knows that ye cherish them in your hearts: But do not make a secret contract with them except in terms Honourable) give me the refrence,"Refrence: (2,235)"
237, (There is no blame on you if ye divorce women before consummation or the fixation of their dower; but bestow on them (A suitable gift)) give me the refrence,"Refrence: (2,236)"
238, (And if ye divorce them before consummation) give me the refrence,"Refrence: (2,237)"
239, (Guard strictly your (habit of) prayers) give me the refrence,"Refrence: (2,238)"
240, (If ye fear (an enemy)) give me the refrence,"Refrence: (2,239)"
241, (Those of you who die and leave widows should bequeath for their widows a year�s maintenance and residence; but if they leave (The residence)) give me the refrence,"Refrence: (2,240)"
242, (For divorced women Maintenance (should be provided) on a reasonable (scale). This is a duty on the righteous.) give me the refrence,"Refrence: (2,241)"
243, (Thus doth Allah Make clear His Signs to you: In order that ye may understand.) give me the refrence,"Refrence: (2,242)"
244, (Didst thou not Turn by vision to those who abandoned their homes) give me the refrence,"Refrence: (2,243)"
245, (Then fight in the cause of Allah) give me the refrence,"Refrence: (2,244)"
246, (Who is he that will loan to Allah a beautiful loan) give me the refrence,"Refrence: (2,245)"
247," (Hast thou not Turned thy vision to the Chiefs of the Children of Israel after (the time of) Moses? they said to a prophet (That was) among them: ""Appoint for us a king) give me the refrence","Refrence: (2,246)"
248," (Their Prophet said to them: ""Allah hath appointed Talut as king over you."" They said: ""How can he exercise authority over us when we are better fitted than he to exercise authority) give me the refrence","Refrence: (2,247)"
249," (And (further) their Prophet said to them: ""A Sign of his authority is that there shall come to you the Ark of the covenant) give me the refrence","Refrence: (2,248)"
250, (When Talut set forth with the armies) give me the refrence,"Refrence: (2,249)"
251, (When they advanced to meet Goliath and his forces) give me the refrence,"Refrence: (2,250)"
252, (By Allah�s will they routed them; and David slew Goliath; and Allah gave him power and wisdom and taught him whatever (else) He willed. And did not Allah Check one set of people by means of another) give me the refrence,"Refrence: (2,251)"
253, (These are the Signs of Allah: we rehearse them to thee in truth: verily Thou art one of the messengers.) give me the refrence,"Refrence: (2,252)"
254, (Those messengers We endowed with gifts) give me the refrence,"Refrence: (2,253)"
255, (O ye who believe! Spend out of (the bounties) We have provided for you) give me the refrence,"Refrence: (2,254)"
256, (Allah! There is no god but He) give me the refrence,"Refrence: (2,255)"
257, (Let there be no compulsion in religion: Truth stands out clear from Error: whoever rejects evil and believes in Allah hath grasped the most trustworthy hand-hold) give me the refrence,"Refrence: (2,256)"
258, (Allah is the Protector of those who have faith: from the depths of darkness He will lead them forth into light. Of those who reject faith the patrons are the evil ones: from light they will lead them forth into the depths of darkness. They will be companions of the fire) give me the refrence,"Refrence: (2,257)"
259, (Hast thou not Turned thy vision to one who disputed with Abraham About his Lord) give me the refrence,"Refrence: (2,258)"
260, (Or (take) the similitude of one who passed by a hamlet) give me the refrence,"Refrence: (2,259)"
261," (When Abraham said: ""Show me) give me the refrence","Refrence: (2,260)"
262, (The parable of those who spend their substance in the way of Allah is that of a grain of corn: it groweth seven ears) give me the refrence,"Refrence: (2,261)"
263, (Those who spend their substance in the cause of Allah) give me the refrence,"Refrence: (2,262)"
264, (Kind words and the covering of faults are better than charity followed by injury. Allah is free of all wants) give me the refrence,"Refrence: (2,263)"
265, (O ye who believe! cancel not your charity by reminders of your generosity or by injury) give me the refrence,"Refrence: (2,264)"
266, (And the likeness of those who spend their substance) give me the refrence,"Refrence: (2,265)"
267, (Does any of you wish that he should have a garden with date-palms and vines and streams flowing underneath) give me the refrence,"Refrence: (2,266)"
268, (O ye who believe! Give of the good things which ye have (honourably) earned) give me the refrence,"Refrence: (2,267)"
269, (The Evil one threatens you with poverty and bids you to conduct unseemly. Allah promiseth you His forgiveness and bounties. And Allah careth for all and He knoweth all things.) give me the refrence,"Refrence: (2,268)"
270, (He granteth wisdom to whom He pleaseth; and he to whom wisdom is granted receiveth indeed a benefit overflowing; but none will grasp the Message but men of understanding.) give me the refrence,"Refrence: (2,269)"
