,prompt,completion
10,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And who believe in the Revelation sent to thee"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:4)
11,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""They are on (true) guidance"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:5)
12,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""As to those who reject Faith"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:6)
13,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Allah hath set a seal on their hearts and on their hearing"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:7)
14,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:8)
15,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Fain would they deceive Allah and those who believe"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:9)
16,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur)"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:10)
17,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""When it is said to them: ""Make not mischief on the earth"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:11)
18,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Of a surety"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:12)
19,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:13)
20,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""When they meet those who believe"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:14)
21,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Allah will throw back their mockery on them"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:15)
22,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""These are they who have bartered Guidance for error: But their traffic is profitless"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:16)
23,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Their similitude is that of a man who kindled a fire; when it lighted all around him"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:17)
24,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Deaf"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:18)
25,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:19)
26,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""The lightning all but snatches away their sight; every time the light (Helps) them"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:20)
27,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""O ye people! Adore your Guardian-Lord"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:21)
28,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Who has made the earth your couch"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:22)
29,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And if ye are in doubt as to what We have revealed from time to time to Our servant"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:23)
30,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:24)
31,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""But give glad tidings to those who believe and work righteousness"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:25)
32,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Those who break Allah�s Covenant after it is ratified"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:27)
33,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""How can ye reject the faith in Allah?- seeing that ye were without life"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:28)
34,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:29)
35,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Behold"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:30)
36,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And He taught Adam the names of all things; then He placed them before the angels"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:31)
37,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""They said: ""Glory to Thee"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:32)
38,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""He said: ""O Adam! Tell them their names."" When he had told them"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:33)
39,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And behold"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:34)
40,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:35)
41,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Then did Satan make them slip from the (garden)"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:36)
42,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Then learnt Adam from his Lord words of inspiration"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:37)
43,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""We said: ""Get ye down all from here; and if"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:38)
44,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: """"But those who reject Faith and belie Our Signs"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:39)
45,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""O Children of Israel! call to mind the (special) favour which I bestowed upon you"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:40)
46,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And believe in what I reveal"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:41)
47,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And cover not Truth with falsehood"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:42)
48,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship)."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:43)
49,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Do ye enjoin right conduct on the people"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:44)
50,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Nay"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:45)
51,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Who bear in mind the certainty that they are to meet their Lord"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:46)
52,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Children of Israel! call to mind the (special) favour which I bestowed upon you"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:47)
53,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:48)
54,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:49)
55,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember We divided the sea for you and saved you and drowned Pharaoh�s people within your very sight."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:50)
56,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember We appointed forty nights for Moses"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:51)
57,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Even then We did forgive you; there was a chance for you to be grateful."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:52)
58,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:53)
59,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:54)
60,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:55)
61,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember We said: ""Enter this town"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:58)
62,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:59)
63,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:60)
64,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:61)
65,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Those who believe (in the Qur�an)"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:62)
66,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai) : (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah."""" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:63)
67,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:64)
68,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:65)
69,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""So We made it an example to their own time and to their posterity"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:66)
70,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember Moses said to his people: ""Allah commands that ye sacrifice a heifer."" They said: ""Makest thou a laughing-stock of us?"" He said: ""Allah save me from being an ignorant (fool)!"""" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:67)
71,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""They said: ""Beseech on our behalf Thy Lord to make plain to us what (heifer) it is!"" He said; ""He says: The heifer should be neither too old nor too young"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:68)
72,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:69)
73,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:70)
74,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:71)
75,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Remember ye slew a man and fell into a dispute among yourselves as to the crime: But Allah was to bring forth what ye did hide."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:72)
76,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""So We said: ""Strike the (body) with a piece of the (heifer)."" Thus Allah bringeth the dead to life and showeth you His Signs: Perchance ye may understand."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:73)
77,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Thenceforth were your hearts hardened: They became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of Allah. And Allah is not unmindful of what ye do."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:74)
78,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Can ye (o ye men of Faith) entertain the hope that they will believe in you?- Seeing that a party of them heard the Word of Allah"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:75)
79,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Behold! when they meet the men of Faith"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:76)
80,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Know they not that Allah knoweth what they conceal and what they reveal?"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:77)
81,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And there are among them illiterates"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:78)
82,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Then woe to those who write the Book with their own hands"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:79)
83,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Nay"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:81)
84,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""But those who have faith and work righteousness"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:82)
85,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember We took a covenant from the Children of Israel (to this effect): Worship none but Allah; treat with kindness your parents and kindred"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:83)
86,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""And remember We took your covenant (to this effect): Shed no blood amongst you"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:84)
87,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""After this it is ye"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:85)
88,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""These are the people who buy the life of this world at the price of the Hereafter: their penalty shall not be lightened nor shall they be helped."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:86)
89,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""We gave Moses the Book and followed him up with a succession of messengers; We gave Jesus the son of Mary Clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you a messenger with what ye yourselves desire not"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:87)
90,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""They say"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:88)
